x_position,y_position,r
0.0,0.0,-48.422864982132616
0.0,0.3333333333333333,-41.17333140337453
0.0,0.6666666666666666,-50.045989845641905
0.0,1.0,-45.53077197540704
0.0,1.3333333333333333,-50.27992579005155
0.0,1.6666666666666665,-59.10539152370775
0.0,2.0,-71.97044974558801
0.0,2.333333333333333,-89.48739799446824
0.0,2.6666666666666665,-112.84749780397463
0.0,3.0,-134.45561312684686
0.3333333333333333,0.0,-39.095766424432995
0.3333333333333333,0.3333333333333333,-45.01501239303111
0.3333333333333333,0.6666666666666666,-47.94501016812081
0.3333333333333333,1.0,-40.0988753976884
0.3333333333333333,1.3333333333333333,-48.79860321465193
0.3333333333333333,1.6666666666666665,-61.10626178831337
0.3333333333333333,2.0,-74.51551819359007
0.3333333333333333,2.333333333333333,-86.50637793467203
0.3333333333333333,2.6666666666666665,-106.3831504475706
0.3333333333333333,3.0,-126.01953027353451
0.6666666666666666,0.0,-72.87898677969669
0.6666666666666666,0.3333333333333333,-38.37474313407297
0.6666666666666666,0.6666666666666666,-34.804959871887746
0.6666666666666666,1.0,-50.251645487190686
0.6666666666666666,1.3333333333333333,-48.161629742031636
0.6666666666666666,1.6666666666666665,-68.3091334169192
0.6666666666666666,2.0,-76.2572677099175
0.6666666666666666,2.333333333333333,-90.95236715523406
0.6666666666666666,2.6666666666666665,-104.10310129087625
0.6666666666666666,3.0,-128.8117225004998
1.0,0.0,-51.470662937397876
1.0,0.3333333333333333,-44.385995414683585
1.0,0.6666666666666666,-42.43385353992154
1.0,1.0,-257.38686031239195
1.0,1.3333333333333333,-55.38440753393593
1.0,1.6666666666666665,-65.06942030856939
1.0,2.0,-76.71405268207357
1.0,2.333333333333333,-89.1243790971004
1.0,2.6666666666666665,-137.46025249995705
1.0,3.0,-124.58614406652698
1.3333333333333333,0.0,-49.748225023835246
1.3333333333333333,0.3333333333333333,-46.235218422818264
1.3333333333333333,0.6666666666666666,-47.087381088852155
1.3333333333333333,1.0,-54.68069984504965
1.3333333333333333,1.3333333333333333,-53.97651450848486
1.3333333333333333,1.6666666666666665,-72.45662526736116
1.3333333333333333,2.0,-81.46039337588381
1.3333333333333333,2.333333333333333,-89.08378862889474
1.3333333333333333,2.6666666666666665,-107.24716305067778
1.3333333333333333,3.0,-135.73551481722535
1.6666666666666665,0.0,-58.58653874361376
1.6666666666666665,0.3333333333333333,-64.84633100277415
1.6666666666666665,0.6666666666666666,-58.3888822141335
1.6666666666666665,1.0,-61.91213885079336
1.6666666666666665,1.3333333333333333,-61.713898455814295
1.6666666666666665,1.6666666666666665,-68.11336940489423
1.6666666666666665,2.0,-86.59051472231624
1.6666666666666665,2.333333333333333,-91.77822469242572
1.6666666666666665,2.6666666666666665,-111.05415013533087
1.6666666666666665,3.0,-128.89880968362394
2.0,0.0,-73.20320791684512
2.0,0.3333333333333333,-74.61475834975093
2.0,0.6666666666666666,-71.48511663302666
2.0,1.0,-167.25751719815415
2.0,1.3333333333333333,-86.98719872781663
2.0,1.6666666666666665,-84.03749058053839
2.0,2.0,-543.0579433928331
2.0,2.333333333333333,-99.96265861500693
2.0,2.6666666666666665,-122.09990265649454
2.0,3.0,-373.20541282223866
2.333333333333333,0.0,-108.50908696720782
2.333333333333333,0.3333333333333333,-83.42136553127156
2.333333333333333,0.6666666666666666,-84.66913831861798
2.333333333333333,1.0,-92.70243302364293
2.333333333333333,1.3333333333333333,-86.87096644504354
2.333333333333333,1.6666666666666665,-96.20139775338988
2.333333333333333,2.0,-104.59821653649301
2.333333333333333,2.333333333333333,-106.16237051398022
2.333333333333333,2.6666666666666665,-122.01284809326035
2.333333333333333,3.0,-139.5514890963561
2.6666666666666665,0.0,-100.07070867656019
2.6666666666666665,0.3333333333333333,-102.4993463806139
2.6666666666666665,0.6666666666666666,-102.22625139409864
2.6666666666666665,1.0,-101.51320980792269
2.6666666666666665,1.3333333333333333,-102.79690787587559
2.6666666666666665,1.6666666666666665,-108.95248883520092
2.6666666666666665,2.0,-113.91386327646133
2.6666666666666665,2.333333333333333,-119.75354739025019
2.6666666666666665,2.6666666666666665,-129.08582636308873
2.6666666666666665,3.0,-172.56410526862751
3.0,0.0,-163.08445672440055
3.0,0.3333333333333333,-123.72121673009269
3.0,0.6666666666666666,-165.8365365302748
3.0,1.0,-129.31341062892884
3.0,1.3333333333333333,-136.6542774228131
3.0,1.6666666666666665,-128.89963916961878
3.0,2.0,-669.536834229968
3.0,2.333333333333333,-142.72081308795327
3.0,2.6666666666666665,-149.09888004171134
3.0,3.0,-246.08644914755922
